Sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ	HRP2	HRP3	HRP2 and HRP3
FP0008-C	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0009-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0010-CW	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
FP0011-CW	Undetermined	Resistant	Undetermined	Sensitive	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
FP0012-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0013-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0014-CW	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0015-C	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0016-C	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0017-C	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0018-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0019-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0020-C	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0021-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0022-C	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0023-C	Resistant	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0024-C	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0025-C	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0028-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0029-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0030-C	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0031-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0032-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0033-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0034-C	Undetermined	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0035-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0037-CW	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	uncallable	uncallable	uncallable
FP0038-C	Resistant	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0039-C	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0040-C	Undetermined	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0041-C	Undetermined	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0042-C	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0043-C	Resistant	Undetermined	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0044-C	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0045-CW	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0046-C	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0047-C	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0048-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0050-CW	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0051-C	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0052-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0054-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0055-C	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0056-C	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0057-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0058-C	Undetermined	Resistant	Undetermined	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0059-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0061-C	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
FP0062-C	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
